Indicator,Most_Likely_Class,Max_Probability,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Prob_Class_5,Prob_Class_6,Prob_Class_7,Prob_Class_8,Prob_Class_9,Prob_Class_10,Prob_Class_11,Prob_Class_12,Prob_Class_13,Prob_Class_14,Prob_Class_15
153,6,0.12288395,0.041638974,0.056904614,0.06796161,0.017227264,0.08590324,0.06775721,0.12288395,0.099301524,0.08833539,0.06473958,0.04820152,0.02592946,0.083303064,0.015743248,0.024952002,0.08921731
154,15,0.14047086,0.029201617,0.023636172,0.13900492,0.071331784,0.12828378,-0.033165853,0.05149982,0.044258073,0.13007727,0.06265854,0.0091606295,-0.0049769958,0.12710741,0.042658407,0.03879351,0.14047086
155,13,0.09904663,0.08020461,0.0811876,0.06382727,0.06178243,0.035229757,0.05041477,0.04383615,0.07245703,0.04182883,0.042135213,0.081112266,0.06266896,0.041883163,0.09904663,0.08255092,0.059834328
156,13,0.19845544,0.09487652,0.041934073,0.06573016,0.05152584,0.060911246,0.0676464,0.0904789,0.1308047,-0.03515919,-0.08073766,0.024109097,-0.0442849,0.08035308,0.19845544,0.15169278,0.10166352
157,2,0.08011969,0.06322892,0.06530511,0.08011969,0.07311319,0.05513363,0.05171256,0.04702368,0.06659859,0.06913276,0.06742989,0.0679601,0.03616077,0.076204345,0.05198383,0.05420038,0.074692555
158,2,0.092447825,0.039522253,0.044112477,0.092447825,0.06991523,0.08735222,0.052168384,0.07004708,0.0633852,0.046577875,0.025288839,0.048029616,0.030641627,0.08551287,0.0841181,0.081148565,0.07973187
159,4,0.10788978,0.040910468,0.064284645,0.052884415,0.06072775,0.10788978,0.060379785,0.048508164,0.060657427,0.062569134,0.08878022,0.082855515,0.05972993,0.057403173,0.046666946,0.055080906,0.05067173
160,3,0.09587141,0.063816525,0.054171607,0.07579521,0.09587141,0.083004095,0.04204936,0.037032597,0.0496107,0.045180093,0.046349812,0.08338734,0.07734429,0.069755316,0.055310722,0.07697297,0.044348005
161,3,0.09608282,0.09079586,0.072293125,0.09035269,0.09608282,0.052868087,0.052699152,0.026687482,0.047059238,0.0054747644,0.018604366,0.0714997,0.063302554,0.081909806,0.0882356,0.085582845,0.056551877
162,15,0.15654027,0.041748382,-0.012799098,0.12561837,0.108124055,0.057989374,0.05884488,0.09766466,0.09660449,-0.023361532,-0.06382123,-0.025517417,-0.04426683,0.15199801,0.14486432,0.12976931,0.15654027
163,11,0.2045958,0.034063097,0.15027526,0.030019797,0.062371347,-0.117406495,0.14007203,0.03581237,0.015979983,0.046907507,0.15092897,0.1831369,0.2045958,-0.060496453,0.039594196,0.023868054,0.060277622
164,1,0.14172289,0.12968202,0.14172289,0.038337782,0.028817758,0.034395725,0.09618713,0.037808374,0.044538096,-0.0020156698,0.11418681,0.13536224,0.13140331,0.013514868,0.012871654,0.04133143,0.0018556174
165,0,0.09047631,0.09047631,0.07390941,0.077560306,0.08820375,0.035854444,0.05615789,0.053839613,0.04401625,0.0081701875,0.03891427,0.07753717,0.087088384,0.079178944,0.05291186,0.07335211,0.062829085
166,0,0.10608521,0.10608521,0.08370751,0.09526269,0.078468814,-0.005546982,0.084729664,0.04923763,0.050766557,0.029646035,0.08863077,0.0935914,0.07103595,0.079875566,0.029058656,0.040711932,0.024738627
167,2,0.08961729,0.071918055,0.07343155,0.08961729,0.08506895,0.06625289,0.06165075,0.064592026,0.05486723,0.0052986355,0.020416271,0.07058088,0.08431882,0.077821866,0.060545415,0.07203392,0.041585486
168,12,0.09353982,0.08538618,0.059946023,0.0793069,0.08211198,0.0678317,0.052852344,0.06682595,0.061006714,0.026303802,0.035162896,0.06564266,0.054999053,0.09353982,0.037338212,0.052901693,0.07884404
169,1,0.14329822,0.09084765,0.14329822,0.03244232,0.032596216,0.01898233,0.056578975,0.043158256,0.07637529,0.03311696,0.049045052,0.114858076,0.11913048,0.045338947,0.039460883,0.031890463,0.07287981
